species_code,access_gradient_max,spawn_gradient_min,rear_gradient_min,cluster_rearing,cluster_direction,cluster_bridge_gradient,cluster_bridge_distance,cluster_confluence_m
BT,0.25,0.0025,0,FALSE,,,,
CH,0.15,0.0025,0,TRUE,both,0.05,10000,10
CM,0.15,0.0025,0,FALSE,,,,
CO,0.15,0.0025,0,TRUE,both,0.05,10000,10
CT,0.25,0.0025,0,FALSE,,,,
DV,0.25,0.0025,0,FALSE,,,,
PK,0.15,0.0025,0,FALSE,,,,
RB,0.25,0.0025,0,FALSE,,,,
SK,0.15,0.0025,0,TRUE,both,0.05,10000,10
ST,0.20,0.0025,0,TRUE,both,0.05,10000,10
WCT,0.20,0.0025,0,TRUE,both,0.05,10000,10
